Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,School Latitude,School Longitude,Email,Phone No.,Principal Name,Local Authority Description,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Female,Male,Total
2023,00359V,ST. LOUIS GIRLS NATIONAL SCHOOL,Park Road,Monaghan,,,Monaghan,H18HK31,54,-7,principal@stlouisgns.com,04781305,Marietta Graham Reynolds (acting),Monaghan County Council,Y,No subjects through Irish,N,N,Catholic,200,,200
2023,00373P,DERAVOY NATIONAL SCHOOL,Deravoy,Emyvale,Co. Monaghan,,Monaghan,H18PY11,54,-7,deravoyns@gmail.com,04787755,Sheenagh Currie,Monaghan County Council,Y,No subjects through Irish,N,N,Catholic,32,46,78
2023,00467B,BALLINSPITTLE N S,Ballycatten,Ballinspittle,Co. Cork,,Cork,P17FN27,52,-9,secretary@ballinspittlens.ie,0214778239,Mrs. Sheila Wall,Cork County Council,N,No subjects through Irish,N,N,Catholic,92,103,195
2023,00512D,MIDLETON CONVENT N S,Midleton,Co. Cork,,,Cork,P25R248,52,-8,scoilbhridemidleton@gmail.com,0214631593,Seamus O'Connor,Cork County Council,N,No subjects through Irish,N,N,Catholic,256,52,308
2023,00538V,CLOCHAR DAINGEAN,An Phr¡omhsr id Uachtarach,Daingean U¡ Ch£is,Co. Chiarra¡,,Kerry,V92AD76,52,-10,bscd01@gmail.com,0669151154,Miche l à Muircheartaigh,Kerry County Council,N,All subjects through Irish,Y,N,Catholic,110,32,142
2023,00606M,MONARD N S,Monard,Solohead,Co. Tipperary,,Tipperary,E34VF97,53,-8,info@monardns.com,06247557,Mary O'Dwyer,Tipperary (Sr) County Council,N,No subjects through Irish,N,N,Catholic,53,56,109
2023,00651R,BORRIS MXD N S,Lower Main Street,Borris,Co. Carlow,,Carlow,R95RH6F,53,-7,pcoady@borrisns.com,0599773402,Pat Coady,Carlow County Council,N,No subjects through Irish,N,N,Catholic,99,98,197
2023,00697S,ST BRIGIDS MXD N S,Beechpark Lawn,Castleknock,Dublin 15,,Dublin,D15P820,53,-6,principal@saintbrigids.ie,018214040,Nicola Fay,Fingal County Council,N,No subjects through Irish,N,N,Catholic,418,482,900
2023,00714P,LUCAN B N S,Chapel Hill,Lucan,Co. Dublin,,Dublin,K78YD27,53,-6,info@stmarysbnslucan.com,016281857,Dara Burke,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,,491,491
2023,00729F,CLOCHAR LORETO N S,Grange Road,Rathfarnham,Dublin 14,,Dublin,D14YY28,53,-6,info@loretograngeroad.ie,014931640,Sr. Maria Hyland,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,471,5,476
